Features,-,Descriptions
id,,unique identifier
gender,,"Male, ""Female"" or ""Other"""
age,,age of the patient
hypertension,,"0 if the patient doesn't have hypertension, 1 if the patient has hypertension"
heart_disease,," 0 if the patient doesn't have any heart diseases, 1 if the patient has a heart disease"
ever_married,," ""No"" or ""Yes"""
work_type,,"children, ""Govt_jov"", ""Never_worked"", ""Private"" or ""Self-employed"""
Resident_type,,"Rural or ""Urban"""
avg_glucose,,average glucose level in blood
bmi,,body mass index
smoking_status,,"formerly smoked, ""never smoked"", ""smokes"" or ""Unknown""(Unknown means that the information is unavailable for this patient)"
stroke,,1 if the patient had a stroke or 0 if not
