UnitNumber,price,overall_satisfaction,reviews,room_type,accommodates,bedrooms,minstay,neighborhood,district,WalkScore,TransitScore,BikeScore,PctRentals
1,85,5,6,Private room,2,1,1,Albany Park,Far North,87,62,68,0.042531539
2,35,5,8,Private room,1,1,1,Albany Park,Far North,87,62,68,0.042531539
3,175,4.5,7,Entire home/apt,4,2,2,Albany Park,Far North,87,62,68,0.042531539
4,75,5,52,Private room,2,1,1,Albany Park,Far North,87,62,68,0.042531539
5,160,5,3,Entire home/apt,6,2,1,Albany Park,Far North,87,62,68,0.042531539
6,60,5,5,Private room,1,1,1,Albany Park,Far North,87,62,68,0.042531539
7,39,5,8,Private room,2,1,3,Albany Park,Far North,87,62,68,0.042531539
8,65,5,25,Private room,2,1,2,Albany Park,Far North,87,62,68,0.042531539
9,47,4.5,7,Private room,2,1,1,Albany Park,Far North,87,62,68,0.042531539
10,100,4.5,24,Entire home/apt,6,2,NA,Albany Park,Far North,87,62,68,0.042531539
11,150,4.5,8,Entire home/apt,6,2,5,Albany Park,Far North,87,62,68,0.042531539
12,38,5,3,Private room,1,1,10,Albany Park,Far North,87,62,68,0.042531539
13,87,5,10,Private room,4,1,2,Albany Park,Far North,87,62,68,0.042531539
14,39,5,15,Private room,3,1,1,Albany Park,Far North,87,62,68,0.042531539
15,73,5,3,Entire home/apt,4,2,2,Albany Park,Far North,87,62,68,0.042531539
16,150,5,6,Entire home/apt,6,3,2,Albany Park,Far North,87,62,68,0.042531539
17,48,5,5,Private room,2,1,1,Albany Park,Far North,87,62,68,0.042531539
18,84,5,18,Entire home/apt,4,0,NA,Albany Park,Far North,87,62,68,0.042531539
19,97,5,3,Entire home/apt,4,1,3,Albany Park,Far North,87,62,68,0.042531539
20,65,5,4,Private room,2,1,1,Albany Park,Far North,87,62,68,0.042531539
21,180,5,9,Entire home/apt,4,2,1,Albany Park,Far North,87,62,68,0.042531539
22,149,5,13,Entire home/apt,6,2,5,Albany Park,Far North,87,62,68,0.042531539
23,89,5,22,Private room,2,1,1,Albany Park,Far North,87,62,68,0.042531539
24,150,4.5,20,Entire home/apt,8,3,NA,Albany Park,Far North,87,62,68,0.042531539
25,106,4,40,Entire home/apt,4,1,2,Albany Park,Far North,87,62,68,0.042531539
26,50,5,4,Private room,2,1,NA,Albany Park,Far North,87,62,68,0.042531539
27,75,4.5,45,Private room,2,1,1,Albany Park,Far North,87,62,68,0.042531539
28,79,4.5,47,Entire home/apt,4,2,1,Albany Park,Far North,87,62,68,0.042531539
29,45,5,13,Private room,1,1,1,Albany Park,Far North,87,62,68,0.042531539
30,66,5,5,Private room,2,1,1,Albany Park,Far North,87,62,68,0.042531539
31,35,5,8,Private room,2,1,1,Albany Park,Far North,87,62,68,0.042531539
32,40,5,15,Private room,2,1,2,Albany Park,Far North,87,62,68,0.042531539
33,85,5,37,Entire home/apt,2,1,3,Albany Park,Far North,87,62,68,0.042531539
34,50,5,16,Private room,2,1,1,Albany Park,Far North,87,62,68,0.042531539
35,37,4.5,14,Private room,2,1,3,Albany Park,Far North,87,62,68,0.042531539
