"spam","to_multiple","from","cc","sent_email","image","attach","dollar","winner","inherit","password","num_char","line_breaks","format","re_subj","exclaim_subj","urgent_subj","exclaim_mess","number"
"notspam","no","yes","no","yes","no","no","no","no","no","no",5.229,88,"HTML","yes","no","no",2,"small"
"notspam","no","yes","no","no","no","no","yes","no","no","no",0.26,6,"Plain","no","no","no",0,"big"
"notspam","no","yes","no","no","no","no","no","no","no","no",0.775,29,"Plain","no","no","no",0,"small"
"notspam","no","yes","no","yes","no","no","no","no","no","no",6.557,201,"Plain","yes","no","no",8,"small"
"notspam","no","yes","no","no","no","no","no","no","no","no",25.572,643,"HTML","no","no","no",1,"small"
"notspam","no","yes","yes","no","no","no","yes","no","no","no",10.634,286,"Plain","yes","no","no",0,"small"
"notspam","no","yes","no","yes","no","no","no","no","no","no",8.192,151,"HTML","yes","no","no",2,"small"
"notspam","no","yes","no","yes","no","no","yes","no","no","no",23.359,447,"HTML","yes","no","no",6,"small"
"notspam","no","yes","no","no","no","no","no","no","no","no",9.085,180,"HTML","no","no","no",2,"big"
"spam","no","no","no","no","no","no","no","no","no","no",3.543,21,"HTML","no","no","no",1,"small"
"notspam","no","yes","no","no","no","no","no","no","no","no",0.812,24,"Plain","no","no","no",0,"none"
"notspam","yes","yes","no","no","no","no","no","no","no","no",1.447,26,"Plain","no","no","no",0,"big"
"notspam","no","yes","no","no","no","no","no","no","no","no",0.88,27,"Plain","no","no","no",1,"none"
"notspam","no","yes","no","no","no","no","yes","no","no","no",46.053,892,"HTML","no","no","no",16,"small"
"notspam","no","yes","no","no","no","no","no","no","no","no",3.348,88,"Plain","no","no","no",0,"small"
"notspam","no","yes","no","no","no","no","no","no","no","no",33.127,780,"HTML","no","no","no",1,"small"
"notspam","yes","yes","no","no","no","yes","no","no","no","no",0.037,3,"Plain","no","no","no",0,"none"
"notspam","no","yes","no","no","no","no","yes","no","no","no",14.221,201,"HTML","no","no","no",24,"small"
"notspam","no","yes","no","no","no","no","no","no","no","no",27.601,678,"HTML","no","no","no",1,"small"
"notspam","no","yes","no","no","no","no","no","no","no","no",29.622,721,"HTML","no","no","no",1,"small"
"spam","no","yes","no","no","no","yes","no","no","no","no",0.459,21,"Plain","no","no","no",0,"none"
"notspam","no","yes","no","no","no","no","no","no","no","no",20.354,424,"HTML","no","no","no",15,"big"
"notspam","no","yes","no","no","no","no","yes","no","no","no",16.686,174,"HTML","no","no","no",8,"small"
"notspam","no","yes","no","yes","no","no","no","no","no","no",0.116,4,"HTML","no","no","no",0,"none"
"spam","no","yes","no","no","no","no","no","no","no","no",2.705,35,"HTML","no","no","no",0,"none"
"notspam","no","yes","no","yes","no","no","no","no","no","no",13.838,352,"HTML","yes","no","no",14,"small"
"notspam","no","yes","no","no","no","no","no","no","no","no",24.835,630,"HTML","no","no","no",1,"small"
"notspam","no","yes","no","no","no","no","no","no","no","no",1.268,32,"Plain","no","no","no",0,"none"
"notspam","no","yes","no","no","no","no","no","no","no","no",0.768,17,"Plain","no","no","no",0,"small"
"notspam","no","yes","no","yes","no","no","no","no","no","no",2.533,57,"HTML","yes","no","no",4,"small"
"notspam","no","yes","no","yes","no","no","no","no","no","no",17.533,614,"HTML","yes","no","no",8,"small"
"notspam","no","yes","no","no","no","no","yes","no","no","no",1.152,34,"Plain","no","no","no",0,"big"
"notspam","no","yes","no","no","no","no","no","no","no","no",0.762,24,"Plain","no","no","no",0,"none"
"notspam","no","yes","no","no","no","no","no","no","no","no",0.806,16,"Plain","no","no","no",1,"small"
"notspam","yes","yes","no","no","no","no","no","no","no","no",0.453,20,"Plain","no","no","no",0,"small"
"notspam","no","yes","no","no","no","no","yes","no","no","no",9.316,165,"HTML","no","yes","no",6,"small"
"notspam","no","yes","no","no","no","no","no","no","no","no",4.22,105,"HTML","no","no","no",1,"small"
"notspam","no","yes","no","no","no","no","no","no","no","no",21.731,287,"HTML","no","no","no",13,"small"
"notspam","no","yes","no","no","no","no","no","no","no","no",0.81,17,"Plain","no","no","no",0,"small"
"notspam","no","yes","no","no","no","no","yes","no","no","no",14.263,209,"HTML","no","yes","no",10,"small"
"notspam","no","yes","no","no","no","no","no","no","no","no",26.588,659,"HTML","no","no","no",1,"small"
"notspam","no","yes","no","yes","no","no","no","no","no","no",12.184,241,"HTML","yes","no","no",0,"small"
"notspam","no","yes","no","yes","no","no","no","no","no","no",0.423,12,"HTML","no","no","no",0,"none"
"spam","no","yes","no","no","no","no","no","no","no","no",2.402,55,"Plain","no","no","no",0,"none"
"notspam","no","yes","no","no","no","no","yes","no","yes","no",7.913,190,"HTML","no","no","no",5,"small"
